"Variable","Overall"
"cluster2.avg_speed",100
"avg_speed",99.5080598524122
"cluster3.modal_locationWW_DCTL",80.3128428683467
"cluster3.modal_locationWBC_DNCTL",77.8707386315903
"cluster3",73.3856394215748
"cluster2.modal_locationWBW_DNCTL",68.5297931285721
"cluster2",68.4738726791938
"cluster3.modal_locationWBW_DNCTL",61.8798795964142
"cluster3.modal_locationWC_DNCTL",61.660729070164
"cluster3.modal_locationWB_DNCTL",59.0430839671208
"cluster2.modal_locationWBC_DNCTL",58.8401433654585
"cluster2.modal_locationWB_DNCTL",58.1540693540834
"cluster4.modal_locationWC_DNCTL",56.0494971147409
"cluster4.modal_locationWBC_DNCTL",54.5130982165545
"modal_locationWC_DNCTL",54.4146867720694
"cluster2.modal_locationWW_DCTL",51.7034862824847
"cluster4.modal_locationWW_DCTL",51.2854541809996
"cluster1",50.179941320084
"cluster2.modal_locationWC_DNCTL",48.3921343899185
"cluster3.sd_speed",46.26038056807
"modal_locationWW_DCTL",44.5714891998628
"cluster3.avg_speed",44.2125722857795
"cluster4",43.1634791105938
"cluster2.sd_speed",40.5689151757784
"cluster4.modal_locationWBW_DNCTL",39.7931804655516
"modal_locationWBW_DNCTL",34.3887697020067
"cluster4.modal_locationWB_DNCTL",33.9512731572875
"modal_locationWBC_DNCTL",33.0135532360301
"cluster2.location_entropy",32.7011132797461
"cluster4.avg_speed",29.9686265073952
"cluster3.location_entropy",29.0177681127517
"cluster4.location_entropy",17.9184636234639
"sd_speed",17.9100426390471
"cluster4.sd_speed",6.54394997133505
"modal_locationWB_DNCTL",4.24090255711968
"location_entropy",0
