"Estimate","Std. Error","z value","Pr(>|z|)","term","model","serve_type","correlation"
0.186470647879563,0.023375521049895,7.97717610150986,1.49719142466256e-15,"(Intercept)","win_sqs_all","all",NA
0.0931319577213112,0.0226435993464621,4.11294848916599,3.90637573443219e-05,"SQS_z","win_sqs_all","all",0.3526885839534
0.168931745116057,0.0246046458096827,6.86584746729323,6.60976702502034e-12,"(Intercept)","win_welo_all","all",NA
0.0870995862576161,0.0234046369730667,3.72146709038246,0.000198068682211312,"welo_z","win_welo_all","all",0.431703065483463
-0.599877216953236,0.0245151274008214,-24.4696756882095,3.10753239055679e-132,"(Intercept)","eff_sqs_all","all",NA
0.188199604112477,0.0234091368759293,8.03957895201148,9.01476878990844e-16,"SQS_z","eff_sqs_all","all",0.50284820445835
-0.602082293183349,0.0257591410937696,-23.3735391638883,7.94395831499168e-121,"(Intercept)","eff_welo_all","all",NA
0.0958925524246708,0.0241814758776081,3.96553762516483,7.32306991004784e-05,"welo_z","eff_welo_all","all",0.354435320856439
0.361453472960708,0.0302104233784836,11.9645285480554,5.45062902771401e-33,"(Intercept)","win_sqs_first","first",NA
0.122228887097307,0.0290019056723182,4.21451226268804,2.50318552408303e-05,"SQS_z","win_sqs_first","first",0.269660004276856
0.360591595162624,0.0308116020325215,11.7031108860234,1.22865132474598e-31,"(Intercept)","win_welo_first","first",NA
0.0616689694791073,0.029736709935252,2.07383296986734,0.0380948260273509,"welo_z","win_welo_first","first",0.198272811472537
-0.405289132248855,0.0305596258528685,-13.2622413049213,3.8326724191328e-40,"(Intercept)","eff_sqs_first","first",NA
0.211801881871989,0.0289762581418382,7.30949734210758,2.68143558114834e-13,"SQS_z","eff_sqs_first","first",0.45802277022767
-0.387470743014965,0.0309513110062186,-12.518718284247,5.89798705459028e-36,"(Intercept)","eff_welo_first","first",NA
0.0524690063982193,0.0296540473516334,1.76937083076888,0.0768320101204716,"welo_z","eff_welo_first","first",0.127397308268925
-0.0573585556853475,0.0433124773730026,-1.32429634978811,0.1854046423396,"(Intercept)","win_sqs_second","second",NA
0.0237056559297162,0.040448639258774,0.586068069634111,0.557829772613593,"SQS_z","win_sqs_second","second",0.0966342509604713
-0.0796071747790083,0.0444709570008094,-1.79009358349449,0.0734388681545042,"(Intercept)","win_welo_second","second",NA
0.0934444889804903,0.0429585539306746,2.17522426688963,0.0296133145339859,"welo_z","win_welo_second","second",0.27063721789421
-0.902976317791687,0.0478539731258579,-18.86941164565,2.03552095300073e-79,"(Intercept)","eff_sqs_second","second",NA
0.117075678050682,0.04470507787778,2.61884518735785,0.00882279776073972,"SQS_z","eff_sqs_second","second",0.389297586723236
-0.934336469120257,0.0496721795913676,-18.8100557858877,6.24720046367147e-79,"(Intercept)","eff_welo_second","second",NA
0.121849394601862,0.0475045068868385,2.56500704011352,0.010317371160159,"welo_z","eff_welo_second","second",0.362457894577976
