predictor,outcome,n,rmse,cor,p_value
SQS_prob,serve_efficiency,97,0.9199583541618557,0.5507275712392224,5.080438788819754e-9
SQS_prob,win_pct,97,1.0559732806478774,0.40167163430485353,4.545555029952665e-5
welo,serve_efficiency,99,1.130525385649236,0.3544353208564386,3.1896755160855926e-4
welo,win_pct,99,1.0607134970769554,0.4317030654834632,8.139446336645679e-6
