"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","avg_welo","avg_welo_scaled","avg_welo_rescaled","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adam walton",0.294117647058824,-0.754728896191222,-0.24547141123504,-0.516624874820969,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",1500,-0.855637019926784,-1,-0.584422229379325,-0.622166729850649,-0.580333872996234,0.377870276992028,0.394221085927384,0.409660220146179,-0.18984078454
"adrian mannarino",0.374576271186441,-1.17858409584835,0.768326094665456,0.829884811568678,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1528.18374605405,0.497330708750021,-0.359336093715862,-0.198536961891779,-0.276060092436409,-0.260117903844454,0.399394998258555,0.398756561682524,0.398403972387314,-0.291826288337121
"alejandro davidovich fokina",0.422330097087379,0.0690348333291055,-0.734627652647985,1.97499230804291,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,"1",1539.05829343104,1.01936605624521,-0.112139358822743,-0.342585725170584,0.0293230591907836,0.157584085000793,0.195502694392793,0.413981950070505,0.442142128944397,0.316156433382204
"alejandro tabilo",0.519125683060109,-0.891256108024369,0.912472438131755,1.74458407132046,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1509.95326970705,-0.377827835774021,-0.773745454611009,0.464492882126881,0.21555436509403,0.685355067655765,0.420503964457777,0.390581303423374,0.460168927907944,-0.153926102595747
"aleksandar kovacevic",0.401639344262295,0.223727135758176,0.76667688205015,-0.545065185324863,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1500,-0.855637019926784,-1,-0.0549598533968187,0.0881435349541163,-0.154555832906483,0.414638256775396,0.431350352528676,0.39414256811142,0.041407415487746
"aleksandar vukic",0.329268292682927,-0.60341685076724,0.0120711277131427,-1.64418476406703,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",1500,-0.855637019926784,-1,-0.401653267928993,-0.34997366095374,-0.523754464054083,0.395511373734244,0.41137216049808,0.386289894580841,-0.185434727367889
"alex de minaur",0.353059177532598,-0.457445655097277,0.152391040578407,0.560649170049515,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,"1",1544.76361992161,1.29325167132655,0.0175522992367219,-0.296706548653419,-0.203493421269536,-0.379932791453255,0.396558618606197,0.418247610522735,0.393844246864319,0.154431881731146
"alex michelsen",0.329545454545455,0.256012373032345,-0.725598058567618,1.4889109793313,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",1511.51768334344,-0.302727770641499,-0.738183703897967,-0.250811445926306,-0.366055091117638,-0.192038628659695,0.482415624463807,0.40922196128376,0.459474712610245,0.167845505768195
"alex molcan",0.404651162790698,-0.537951875060392,-0.691844055211417,0.153748041619189,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1500,-0.855637019926784,-1,-0.0891896123470385,-0.173302968754693,-0.0925927944786531,0.387175961652206,0.397114804010077,0.40478989481926,-0.240708716159159
"alexander bublik",0.513064133016627,0.829131076018034,3.62593539857628,0.0401904908145737,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1508.04748915592,-0.46931530442587,-0.81706704891087,0.455571205584654,0.654355517424229,0.601565754709496,0.430584522282695,0.448527042889521,0.447802424430847,0.437690282665139
