"Feature","Gain","Cover","Frequency"
"avg_speed",0.369673812252856,0.252021992908084,0.284046692607004
"location_entropy",0.158199050461712,0.115383082991354,0.140077821011673
"sd_speed",0.133936124915348,0.114506554045978,0.21011673151751
"cluster4.location_entropy",0.106758942846238,0.0803617674010917,0.0583657587548638
"cluster3.avg_speed",0.0691653539867359,0.0739073269851389,0.0486381322957198
"cluster2.location_entropy",0.0320944005742795,0.0777321805649627,0.0505836575875486
"cluster2.sd_speed",0.0281704712782693,0.0675325710187657,0.0408560311284047
"cluster4.avg_speed",0.0198123684096042,0.0689668911111996,0.0408560311284047
"cluster4.modal_locationWBC_DNCTL",0.015355274208456,0.0432686561217578,0.0252918287937743
"cluster3.sd_speed",0.0152310067711391,0.0258775250009961,0.0233463035019455
"cluster2.avg_speed",0.0141431148121894,0.0336268377226184,0.0214007782101167
"cluster3.location_entropy",0.00600109761884799,0.0199211123949161,0.0116731517509728
"cluster4",0.00584297044386784,0.000398422247898323,0.00194552529182879
"cluster4.sd_speed",0.00524957443551246,0.00928323837603092,0.00583657587548638
"cluster1",0.00410931593033176,0.000517948922267819,0.00389105058365759
"cluster2.modal_locationWBW_DNCTL",0.00390094390422246,0.000438264472688155,0.00194552529182879
"modal_locationWBC_DNCTL",0.00308276503689747,0.000956213394955974,0.00389105058365759
"modal_locationWC_DNCTL",0.00305304271313812,0.00087652894537631,0.00389105058365759
"cluster2.modal_locationWB_DNCTL",0.00248672504381058,0.0133869875293836,0.00778210116731518
"cluster4.modal_locationWBW_DNCTL",0.00219709894347613,0.000478106697477987,0.00389105058365759
"cluster3",0.00153654541306827,0.000557791147057652,0.0116731517509728
