"ServerName","avg_speed","sd_speed","location_entropy","win_rate","serve_efficiency","n_serves","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"adam walton",108.632352941176,7.49109802398264,2.62949516322027,0.602941176470588,0.352941176470588,68,-0.0903375078015579,-0.0937400906104265,-0.0996230928336873,0.443278684272146,0.446681267081015,0.452564269304276,-0.866703634668324
"adrian mannarino",107.794366197183,11.7643996070394,2.80017240784054,0.571830985915493,0.428169014084507,355,-0.0263146602126654,-0.0474205981440537,-0.054035244357418,0.454483674297172,0.475589612228561,0.482204258441925,-0.638962607173904
"alejandro davidovich fokina",111.245,10.0482532553529,3.06354960100365,0.6075,0.465,400,0.0262606730841928,0.0678800953852915,0.0904105865955353,0.438739326915807,0.397119904614709,0.374589413404465,-0.203304341802014
"alejandro tabilo",110.070796460177,9.04820109800768,2.82170623242768,0.690265486725664,0.646017699115044,113,0.206358892287551,0.221201675003204,0.183910577170617,0.439658806827493,0.42481602411184,0.462107121944427,-0.488551396823297
"aleksandar kovacevic",116.884057971014,8.15030896542481,2.33866757237343,0.623188405797101,0.579710144927536,69,0.0630919216752502,0.0508439295114554,0.126646239688431,0.516618223252286,0.528866215416081,0.453063905239105,0.587061532101551
"aleksandar vukic",111.926829268293,11.0303903917822,2.47378231504749,0.560975609756098,0.463414634146341,41,-0.0347661659541368,-0.040975201305308,0.00157176939452569,0.498180800100478,0.50438983545165,0.461842864751816,-0.00295005074439983
"alex de minaur",113.295327102804,8.56079145919258,2.93813208478031,0.620560747663551,0.431775700934579,535,-0.0334648436589382,-0.0264380831826749,-0.0173629404228424,0.465240544593518,0.458213784117254,0.449138641357422,0.0151046909876874
"alex michelsen",112.3,9.01408794679778,2.99941946633579,0.525,0.408333333333333,120,-0.0510166270696494,-0.0157354477846313,0.000794680913289381,0.459349960402983,0.424068781117965,0.407538652420044,-0.114168300506056
"alex molcan",109.315789473684,10.1230074141462,2.7458332217172,0.609022556390977,0.473684210526316,133,0.0161603509232149,-0.0234075177375118,-0.0217326989299373,0.457523859603101,0.497091728263828,0.495416909456253,-0.523393213036543
"alexander bublik",119.112,14.6798312586737,2.76925420974363,0.652,0.596,250,0.0404302004347626,0.00676781041939711,-0.0350609579086304,0.555569799565237,0.589232189580603,0.63106095790863,1.52890110391052
"alexander shevchenko",109.871621621622,10.0720401066655,2.6603034611018,0.486486486486487,0.398648648648649,148,-0.0607955262511815,-0.11761944943881,-0.105053574652285,0.45944417489983,0.516268098087459,0.503702223300934,-0.433716478667309
"alexander zverev",124.408244680851,7.6581130997768,2.68273203282371,0.639627659574468,0.465425531914894,752,-0.0832311263472131,-0.0765847077253013,-0.09786697144204,0.548656658262107,0.542010239640195,0.563292503356934,1.81809905224063
"alexandre muller",106.725388601036,11.2736893168006,2.85110418357817,0.585492227979275,0.38860103626943,193,-0.0403625795514249,-0.068916142594834,-0.043211548130747,0.428963615820855,0.457517178864264,0.431812584400177,-0.862346730269311
"alexei popyrin",116.462450592885,10.5282069558627,2.70912829161823,0.634387351778656,0.527667984189723,506,0.0144246354133186,-0.00858723717850807,-0.0107131751158492,0.513243348776405,0.536255221368231,0.538381159305573,0.721354356021652
"andreas seppi",109.239436619718,9.37472804520144,2.6360754813333,0.619718309859155,0.528169014084507,142,0.0768826579955206,0.0884881280697077,0.0533577581526528,0.451286356088986,0.439680886014799,0.474811255931854,-0.601033866193949
"andrey rublev",114.491856677524,9.85261987477583,2.67763285614555,0.647122692725299,0.500542888165038,921,0.00688418506889343,0.00846700876142326,0.019146928310912,0.493658703096145,0.492075879403615,0.481395959854126,0.329365727441473
"andy murray",113.388349514563,10.5451099731096,2.70501794041437,0.572815533980582,0.359223300970874,309,-0.129164409913053,-0.126496126880785,-0.137365197383084,0.488387710883927,0.485719427851659,0.496588498353958,0.202468452965687
"arthur cazaux",113.53488372093,12.2306189486514,2.6999619711034,0.558139534883721,0.372093023255814,43,-0.136429738095276,-0.124635742999615,-0.124495475098144,0.50852276135109,0.496728766255429,0.496588498353958,0.373046884102157
"arthur fils",114.946996466431,8.2698728940888,2.79528706906705,0.6113074204947,0.459363957597173,283,-0.0127975836165998,-0.00973502605369825,-0.0229786134229532,0.472161541213773,0.469098983650871,0.482342571020126,0.269519207803648
"arthur rinderknech",117.410714285714,9.90598811146955,2.77643366598601,0.618506493506494,0.545454545454545,616,0.0353455935975175,0.0326624314554466,0.0218432383103804,0.510108951857028,0.512792113999099,0.523611307144165,0.828051394865882
"aslan karatsev",113.18544600939,9.96090590792273,2.94337773665245,0.605633802816901,0.52112676056338,426,0.045353439974168,0.0598190374542253,0.0958729222626753,0.475773320589212,0.461307723109155,0.425253838300705,0.117597191531267
"ben shelton",117.209072978304,11.0949760970215,2.85470731675016,0.625246548323471,0.489151873767258,507,-0.0179514180414574,-0.0198235194205789,-0.0210643623472436,0.507103291808716,0.508975393187837,0.510216236114502,0.896752079554852
"benjamin bonzi",115.382113821138,9.11775649834412,2.91435969691329,0.623306233062331,0.48780487804878,369,0.0112258875497911,0.0212614148452981,0.0545987072514325,0.476578990498989,0.466543463203482,0.433206170797348,0.416501794992401
"benoit paire",110.95,11.520184306887,2.67322716691126,0.65,0.63,100,0.145766996333852,0.175899003781367,0.163031076192856,0.484233003666148,0.454100996218633,0.466968923807144,-0.125935387786935
"bernabe zapata miralles",106.481481481481,10.729209408861,2.82173643133622,0.523148148148148,0.486111111111111,216,0.0575361535382698,0.0326615159042138,0.0130983955330319,0.428574957572841,0.453449595206897,0.473012715578079,-0.950722974453484
"borna coric",113.377777777778,10.2283784317614,2.35332150969528,0.555555555555556,0.411111111111111,90,-0.080092157836119,-0.0353871438200962,-0.04492936068111,0.49120326894723,0.446498254931207,0.456040471792221,0.173285790455833
"borna gojo",118.177142857143,11.3526311121753,2.64787574760344,0.611428571428571,0.491428571428571,175,-0.0397710380433661,-0.0562761511730757,-0.0552248781067984,0.531199609471938,0.547704722601647,0.54665344953537,1.08289944459637
"botic van de zandschulp",114.794478527607,9.86408870419402,2.75904671692105,0.630368098159509,0.467791411042945,652,-0.0200206804438029,-0.0230094739523712,-0.0224099429838496,0.487812091486748,0.490800884995316,0.490201354026794,0.381581913122784
"brandon nakashima",116.828828828829,8.33700323884394,2.71598694483871,0.617117117117117,0.463963963963964,444,-0.0277003356746162,-0.0613423784716955,-0.0278922534203744,0.49166429963858,0.525306342435659,0.491856217384338,0.593859642684715
"cameron norrie",110.216617210682,10.100563831448,2.74258468339663,0.629080118694362,0.510385756676558,337,0.0492709120004637,0.0375673707315096,0.0519160081795486,0.461114844676094,0.472818385945048,0.458469748497009,-0.372852734150703
"carlos alcaraz",112.685314685315,9.92318323070754,2.98103117681965,0.581293706293706,0.40472027972028,1144,-0.0656732508614525,-0.0701938711666383,-0.0336630015106468,0.470393530581732,0.474914150886918,0.438383281230927,0.0296782972418586
"carlos taberner",116.538461538462,6.21830625390328,2.48424778390336,0.551282051282051,0.551282051282051,78,0.067212329511144,0.0343757182965155,0.024566772656563,0.484069721770907,0.516906332985536,0.526715278625488,0.361469644245667
"casper ruud",112.798948751643,9.61510866724326,2.8447172788487,0.626806833114323,0.431011826544021,761,-0.0344728164450437,-0.0393624079713719,-0.0502126805494085,0.465484642989065,0.470374234515393,0.48122450709343,0.0222684543623143
