"Variable","Overall"
"avg_speed",100
"cluster3.avg_speed",85.685454077806
"cluster1",66.1897287978514
"cluster3.modal_locationWB_DNCTL",63.6864439939139
"cluster2",60.0321769033334
"modal_locationWC_DNCTL",56.2403169501719
"modal_locationWBW_DNCTL",53.7564388538734
"cluster3.modal_locationWC_DNCTL",50.6710901040533
"cluster3.modal_locationWBC_DNCTL",49.9733849452067
"cluster3",49.4702048507808
"cluster3.modal_locationWW_DCTL",47.9382951917804
"modal_locationWBC_DNCTL",47.1454303737799
"cluster2.modal_locationWB_DNCTL",45.3989728983662
"cluster2.modal_locationWBW_DNCTL",45.2838922740903
"cluster4.sd_speed",44.1187786150272
"cluster2.modal_locationWBC_DNCTL",42.5571241558121
"cluster4.location_entropy",41.9346823595059
"cluster3.sd_speed",41.9052874345709
"cluster2.sd_speed",41.8946759787699
"cluster2.modal_locationWC_DNCTL",41.0854636507833
"cluster3.modal_locationWBW_DNCTL",40.8654712338472
"sd_speed",36.7231853113043
"cluster4.modal_locationWW_DCTL",36.5060658135418
"cluster4.modal_locationWB_DNCTL",36.4195475691014
"cluster4.modal_locationWBW_DNCTL",36.2349546389232
"cluster2.modal_locationWW_DCTL",30.7100776477731
"cluster4.modal_locationWBC_DNCTL",29.9158665284162
"cluster2.avg_speed",29.4486161985788
"location_entropy",27.5269059669735
"cluster3.location_entropy",27.3962214438443
"cluster4",22.8059319595166
"modal_locationWB_DNCTL",19.3874725454538
"cluster4.modal_locationWC_DNCTL",18.0567402302666
"modal_locationWW_DCTL",9.75634108415376
"cluster4.avg_speed",2.92132051168617
"cluster2.location_entropy",0
