effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),-0.849451105206263,0.12311793689322313,-6.8994910623215615,5.218917181465746e-12
fixed,Speed_MPH_z,0.1261386807771731,0.02270741790489677,5.554954830420053,2.7768355776093625e-8
fixed,location_binWB_DNCTL,-0.23786650913764634,0.13365306394942073,-1.7797310597208893,0.07511998480296214
fixed,location_binWBC_DCTL,-0.17349610282290345,0.1625967270688903,-1.0670331804981241,0.28595685305335505
fixed,location_binWBC_DNCTL,-0.22871479884940554,0.13214753052575254,-1.7307534839240468,0.08349574155174391
fixed,location_binWBW_DCTL,0.1407104842703738,0.16800745946571916,0.8375252189268708,0.4022974074771992
fixed,location_binWBW_DNCTL,-0.05498740592579156,0.13316111484731427,-0.4129389123006475,0.6796513707121103
fixed,location_binWC_DCTL,0.04287053033574942,0.1951500278931339,0.21967985758744418,0.8261204927974383
fixed,location_binWC_DNCTL,-0.10465737435193964,0.1370857691354469,-0.7634444845148985,0.44519835877368463
fixed,location_binWW_DCTL,0.4166276463851458,0.14340878998832432,2.9051751041136717,0.0036704769335063722
fixed,location_binWW_DNCTL,0.19664129960566762,0.15885868293698763,1.2378379070640206,0.21577616966126328
fixed,is_modal_location,-0.020024480433929973,0.05422196259125085,-0.369305710766749,0.7118998693824476
