effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),-0.48676470490203627,0.10117563946436696,-4.811086023068526,1.5011238697154663e-6
fixed,Speed_MPH_z,0.16191384298298545,0.01660139421408814,9.75302681780687,1.790485921145326e-22
fixed,location_binWB_DNCTL,-0.2972795358227312,0.11549455684169643,-2.5739700982635902,0.010053896181584605
fixed,location_binWBC_DCTL,-0.105070914962071,0.11789413849443674,-0.8912310340774843,0.3728052385554722
fixed,location_binWBC_DNCTL,-0.3762779659607215,0.10869022839316468,-3.461930032933714,5.363165608372173e-4
fixed,location_binWBW_DCTL,-0.1954911582923896,0.1261407489101104,-1.549785933423459,0.12119290436053114
fixed,location_binWBW_DNCTL,-0.1747647918833129,0.10622513166354593,-1.645230174313714,0.09992235314352858
fixed,location_binWC_DCTL,0.38656485914537286,0.11097020512780127,3.4835013479535064,4.949006290195407e-4
fixed,location_binWC_DNCTL,0.08557384683314331,0.10787778907968754,0.7932480593380656,0.4276333120502443
fixed,location_binWW_DCTL,0.5313313291647477,0.10477379863366212,5.071223302903514,3.952666439381697e-7
fixed,location_binWW_DNCTL,0.09814892586355145,0.11464768705098274,0.8560916350619926,0.3919470951859368
fixed,is_modal_location,0.080590882663754193,0.04241190030268767,1.900195041688502,0.057407528735573615
