"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"avg_speed",0.504293135790093,0.39812210074278,-0.0225053394853753,-0.215138774273047,-0.505997870864813,-0.149139512995303,0.511234537371925,0.0275472636754383
"sd_speed",0.145574343431868,-0.842465141599442,-0.169976391059324,0.186232101070953,-0.405176375897436,0.0494742881283557,0.197072856509313,-0.00573717643368268
"win_rate",0.479954755312145,-0.0919412665199694,-0.478884433261312,-0.169340962339146,0.619174501394418,0.281122653137844,0.20142802822777,-0.0142588420985681
"ace_pct",0.599362781907507,-0.0102199413718472,0.0275933153829969,-0.0237466419990605,-0.171723416711997,-0.057756973796954,-0.778786195829826,-0.00133256064675256
"location_entropy",-0.346439630029901,0.15358717239482,-0.815527789638742,-0.212545134096375,-0.310466710830595,-0.0347100198263732,-0.220001257578411,-0.0116032828549873
"modal_location_WBW_DNCTL",-0.0633188897879698,0.0802185301829718,0.16538904037929,-0.182573885299332,-0.253910410528252,0.885175954293422,-0.0475365246077004,-0.280360945095338
"modal_location_WC_DNCTL",0.089400913171627,0.203640088085363,-0.171301925590061,0.653400444975968,0.00495483124585992,-0.0627732507248684,0.0448973326861494,-0.698770991242077
"modal_location_WW_DCTL",-0.0536843544393674,-0.227377036691662,0.136844381111408,-0.619961167079581,0.0777665648550767,-0.322896500145307,-0.00665602466665947,-0.657255923416059
